card1,card2,position,skill,decision,played_at
4h,9d,bb,advanced,fold,2023-11-30 01:16:27.437666
5h,Kc,sb,advanced,aggress,2023-11-30 01:16:29.005037
7h,Kd,bb,advanced,aggress,2023-11-30 01:16:35.890656
Kd,2h,sb,advanced,aggress,2023-11-30 01:16:46.341832
2c,3h,bb,advanced,fold,2023-11-30 01:16:50.19311
6h,3h,sb,advanced,aggress,2023-11-30 01:16:52.545428
Tc,8d,bb,advanced,aggress,2023-11-30 01:16:56.660249
Ac,9s,sb,advanced,aggress,2023-11-30 01:17:41.260586
9h,8d,bb,advanced,aggress,2023-11-30 01:17:51.385111
9d,3c,sb,advanced,fold,2023-11-30 01:18:01.104136
Qc,5s,bb,advanced,fold,2023-11-30 01:18:06.392649
9d,Jd,sb,advanced,aggress,2023-11-30 01:18:09.094716
Jc,7c,sb,advanced,aggress,2023-11-30 01:18:46.484435
4d,7h,sb,advanced,fold,2023-11-30 01:18:56.549454
3s,2c,bb,advanced,fold,2023-11-30 01:19:02.549366
5s,As,sb,advanced,aggress,2023-11-30 01:19:05.375541
Jc,Td,bb,advanced,aggress,2023-11-30 01:19:09.650214
7c,3c,sb,advanced,fold,2023-11-30 01:19:24.452694
5c,6c,bb,advanced,aggress,2023-11-30 01:19:29.765482
As,5s,sb,advanced,aggress,2023-11-30 01:19:39.985889
Tc,9s,sb,advanced,aggress,2023-11-30 01:28:31.728105
Qs,5h,bb,advanced,aggress,2023-11-30 01:28:43.311666
9d,8s,sb,advanced,aggress,2023-11-30 01:28:55.455215
Ks,Js,sb,advanced,aggress,2023-11-30 01:30:17.44388
Qh,5c,bb,advanced,fold,2023-11-30 01:31:29.031449
Jc,Kd,sb,advanced,aggress,2023-11-30 01:31:31.042513
2h,2s,bb,advanced,aggress,2023-11-30 01:31:34.71572
9h,7s,sb,advanced,fold,2023-11-30 01:31:46.815025
4c,5s,sb,advanced,fold,2023-11-30 01:33:01.758739
8d,Js,bb,advanced,aggress,2023-11-30 01:34:06.38153
Th,Qd,sb,advanced,aggress,2023-11-30 01:34:15.395355
8c,Js,bb,advanced,aggress,2023-11-30 01:34:19.97072
7h,Ks,sb,advanced,aggress,2023-11-30 01:38:43.073563
8d,9h,sb,advanced,aggress,2023-11-30 01:39:29.463322
Kc,Ah,sb,advanced,aggress,2023-11-30 01:41:40.831453
Qc,Kh,bb,advanced,aggress,2023-11-30 01:54:11.988211
8d,8s,sb,advanced,aggress,2023-11-30 01:54:27.472739
Th,2h,bb,advanced,fold,2023-11-30 01:54:31.544219
9s,Kd,sb,advanced,aggress,2023-11-30 01:54:37.997797
Qd,4c,sb,advanced,aggress,2023-11-30 01:56:16.266263
Ks,Qh,sb,advanced,aggress,2023-11-30 01:56:47.646067
2h,7s,sb,advanced,fold,2023-11-30 01:56:55.731547
8h,Qc,bb,advanced,aggress,2023-11-30 01:56:58.883212
Jh,5h,sb,advanced,fold,2023-11-30 01:58:27.720308
